Scotland ,20687,5,10,19,348
Secretary ,21664,93,329,522,619
Severn ,21144,2862,5000,5000,5000
Severna Park ,21146,4198,5000,5000,5000
Shady Side ,20764,277,3545,5000,5000
Sharpsburg ,21782,98,1069,2062,2522
Sharptown ,21861,65,528,697,1038
Sherwood ,21665,46,326,2816,3715
Showell ,21862,761,1182,1366,2751
Silver Spring ,20901,4789,5000,5000,5000
Silver Spring ,20902,4832,5000,5000,5000
Silver Spring ,20903,4752,5000,5000,5000
Silver Spring ,20904,4690,5000,5000,5000
Silver Spring ,20905,4872,5000,5000,5000
Silver Spring ,20906,4812,5000,5000,5000
Silver Spring ,20907,4794,5000,5000,5000
Silver Spring ,20908,4699,5000,5000,5000
Silver Spring ,20910,4856,5000,5000,5000
Silver Spring ,20911,4782,5000,5000,5000
Silver Spring ,20914,4678,5000,5000,5000
Silver Spring ,20915,4853,5000,5000,5000
Silver Spring ,20916,4734,5000,5000,5000
Silver Spring ,20918,4791,5000,5000,5000
Silver Spring ,20997,4818,5000,5000,5000
Simpsonville ,21150,4849,5000,5000,5000
Smithsburg ,21783,391,602,1480,2176
Snow Hill ,21863,5,42,631,1012
Solomons ,20688,359,369,653,752
Southern MD Facility ,20697,4761,5000,5000,5000
Southern MD Facility ,20797,4816,5000,5000,5000
Sparks Glencoe ,21152,1447,3309,5000,5000
Sparrows Point ,21219,1416,3958,5000,5000
Spencerville ,20868,4206,5000,5000,5000
Spring Gap ,21560,116,142,220,241
Stevenson ,21153,3112,5000,5000,5000
Stevensville ,21666,709,2705,4203,5000
Still Pond ,21667,70,132,1148,2685
Stockton ,21864,30,37,40,477
Street ,21154,423,1144,1725,4457
Suburb ,20897,4690,5000,5000,5000
Sudlersville ,21668,2,110,803,1123
Suitland ,20746,4754,5000,5000,5000
Suitland ,20752,4789,5000,5000,5000
Sunderland ,20689,448,607,1614,5000
Swanton ,21561,11,139,177,316
Sykesville ,21784,482,3048,5000,5000
Takoma Park ,20912,4874,5000,5000,5000
Takoma Park ,20913,4735,5000,5000,5000
Tall Timbers ,20690,263,365,382,465
Taneytown ,21787,46,710,832,1785
Taylors Island ,21669,10,135,691,1065
Temple Hills ,20748,4853,5000,5000,5000
Temple Hills ,20757,4823,5000,5000,5000
Templeville ,21670,1,709,874,1073
Thurmont ,21788,54,1125,1685,2268
Tilghman ,21671,40,238,1054,3602
Toddville ,21672,0,2,22,431
Towson ,21204,4409,5000,5000,5000
Towson ,21286,4460,5000,5000,5000
Tracys Landing ,20779,186,707,5000,5000
Trappe ,21673,107,380,389,541
Tuscarora ,21790,402,2495,5000,5000
Tyaskin ,21865,6,249,422,570
Tylerton ,21866,8,10,13,18
Union Bridge ,21791,43,670,2053,2810
Unionville ,21792,157,1688,2135,5000
Upper Fairmount ,21867,9,29,220,450
Upper Falls ,21156,2042,4689,5000,5000
Upper Marlboro ,20772,1793,5000,5000,5000
Upper Marlboro ,20773,2578,5000,5000,5000
Upper Marlboro ,20774,3723,5000,5000,5000
Upper Marlboro ,20775,1788,5000,5000,5000
Upperco ,21155,582,2392,5000,5000
Valley Lee ,20692,253,365,390,446
Vienna ,21869,22,88,690,943
Waldorf ,20601,931,1799,4147,5000
Waldorf ,20602,1004,2415,5000,5000
Waldorf ,20603,1113,4595,5000,5000
Waldorf ,20604,1049,2223,5000,5000
Walkersville ,21793,914,1216,1572,2970
Warwick ,21912,222,437,1112,2055
Washington Grove ,20880,4780,5000,5000,5000
Welcome ,20693,144,788,1958,5000
Wenona ,21870,10,18,265,
West Friendship ,21794,2028,4351,5000,5000
West River ,20778,377,3829,5000,5000
Westernport ,21562,27,62,318,352
Westminster ,21157,385,835,2020,5000
Westminster ,21158,424,648,1139,2309
Westover ,21871,18,33,286,462
Westover ,21890,16,212,450,472
Whaleyville ,21872,163,1245,1646,2943
White Hall ,21161,161,418,3278,5000
White Marsh ,21162,1790,5000,5000,5000
White Plains ,20695,1094,2567,5000,5000
Whiteford ,21160,31,902,1394,3240
Willards ,21874,67,716,1642,1989
Williamsport ,21795,375,792,993,2019
Windsor Mill ,21244,4766,5000,5000,5000
Wingate ,21675,0,2,99,430
Wittman ,21676,47,538,2903,4846
Woodbine ,21797,380,2540,5000,5000
Woodsboro ,21798,157,1160,1639,2783
Woodstock ,21163,2546,5000,5000,5000
Woolford ,21677,75,100,178,1005
Worton ,21678,69,292,1690,2955
Wye Mills ,21679,270,545,590,3061
